opt_segment,RMR_MODEL_LOGIN_1_model_score1,login22_score,datatype,goods_actioned,prevention_rate,accuracy,objf
LS_0120_pw_gray_AA,860,,1,3.22E-05,0.025069032,0.976044405,0.590634017
LS_0120_pw_gray_AA,865,,1,2.78E-05,0.024776397,0.978950489,0.592320003
LS_0120_pw_gray_AA,870,,1,2.39E-05,0.024416231,0.981598793,0.593837737
LS_0120_pw_gray_AA,875,,1,2.20E-05,0.024018549,0.982806263,0.594483075
LS_0120_pw_gray_AA,880,,1,1.88E-05,0.023433279,0.984862819,0.595600582
LS_0120_pw_gray_AA,,900,1,0.001487288,0.112341677,0.797910893,0.500917414
LS_0120_pw_gray_AA,,905,1,0.001248428,0.105588571,0.81553173,0.510187067
LS_0120_pw_gray_AA,,910,1,0.001051927,0.098550333,0.830424886,0.517754613
LS_0120_pw_gray_AA,,915,1,0.000858171,0.091377033,0.847695949,0.526721342
LS_0120_pw_gray_AA,,920,1,0.000687557,0.084789003,0.865701371,0.536241112
LS_0120_pw_gray_AA,,925,1,0.000539299,0.077840807,0.882968763,0.54524156
LS_0120_pw_gray_AA,,930,1,0.000412613,0.071312804,0.900341038,0.554384661
LS_0120_pw_gray_AA,,935,1,0.000292594,0.065242512,0.920982947,0.565579752
LS_0120_pw_gray_AA,,940,1,0.000201992,0.058932109,0.938463377,0.574824049
LS_0120_pw_gray_AA,,945,1,0.000133354,0.053229486,0.954264192,0.583177741
LS_0120_pw_gray_AA,,950,1,8.24E-05,0.047669428,0.968002438,0.590318875
LS_0120_pw_gray_AA,,955,1,5.18E-05,0.041576625,0.976731888,0.594344103
LS_0120_pw_gray_AA,,960,1,3.29E-05,0.034253256,0.981931598,0.596003021
LS_0120_pw_gray_AA,,965,1,1.96E-05,0.026367129,0.985970819,0.596851995
LS_0120_pw_gray_XO,5,,1,0.029066284,0.806020763,0.975433428,0.740650953
LS_0120_pw_gray_XO,10,,1,0.021848422,0.805828476,0.981416209,0.745645736
LS_0120_pw_gray_XO,15,,1,0.018583168,0.805658496,0.984146249,0.747902815
LS_0120_pw_gray_XO,20,,1,0.016543143,0.805509485,0.98585946,0.749308944
LS_0120_pw_gray_XO,25,,1,0.015006497,0.805339282,0.987153385,0.750358588
LS_0120_pw_gray_XO,30,,1,0.013892101,0.805167295,0.988093517,0.751111149
LS_0120_pw_gray_XO,35,,1,0.013119785,0.804997538,0.988745651,0.751622941
LS_0120_pw_gray_XO,40,,1,0.012508129,0.804842281,0.989262657,0.752024425
LS_0120_pw_gray_XO,45,,1,0.012027428,0.80470197,0.989669261,0.752336465
LS_0120_pw_gray_XO,50,,1,0.011658837,0.804566343,0.989981012,0.752570108
LS_0120_pw_gray_XO,55,,1,0.011349655,0.804436962,0.99024256,0.752762998
LS_0120_pw_gray_XO,60,,1,0.01107976,0.804314496,0.990470945,0.752929514
LS_0120_pw_gray_XO,65,,1,0.010846277,0.804193592,0.990668487,0.753070555
LS_0120_pw_gray_XO,70,,1,0.010624931,0.804082503,0.990855928,0.753205071
LS_0120_pw_gray_XO,75,,1,0.010443829,0.803966506,0.991009102,0.753309996
LS_0120_pw_gray_XO,80,,1,0.010271032,0.803847833,0.99115525,0.75340851
LS_0120_pw_gray_XO,85,,1,0.01011708,0.803732952,0.991285434,0.753494434
LS_0120_pw_gray_XO,90,,1,0.009975585,0.80363257,0.991405202,0.753574518
LS_0120_pw_gray_XO,95,,1,0.009845588,0.803522373,0.991515101,0.753644418
LS_0120_pw_gray_XO,100,,1,0.009717507,0.803414407,0.99162344,0.753713444
LS_0120_pw_gray_XO,105,,1,0.009605078,0.803309787,0.991718484,0.753772032
LS_0120_pw_gray_XO,110,,1,0.009510215,0.803217882,0.991798673,0.753820737
LS_0120_pw_gray_XO,115,,1,0.009410881,0.803113708,0.991882596,0.753870123
LS_0120_pw_gray_XO,120,,1,0.009307714,0.803011541,0.991969856,0.753922679
LS_0120_pw_gray_XO,125,,1,0.009217323,0.802897999,0.992046104,0.753963797
