opt_segment,RMR_MODEL_LOGIN_1_model_score1,prevention_rate,bad_rate,goods_actioned,accuracy,num_of_sessions_total,login22_score,datatype
LS_0120_pw_good_AA,335,0.001020408,0.001263997,2.84E-05,0.043478261,775318,,ALL
LS_0120_pw_good_AA,340,0.001020408,0.001263997,2.71E-05,0.045454545,775318,,ALL
LS_0120_pw_good_AA,350,0.001020408,0.001263997,2.32E-05,0.052631579,775318,,ALL
LS_0120_pw_good_AA,360,0.001020408,0.001263997,1.94E-05,0.0625,775318,,ALL
LS_0120_pw_good_AA,370,0.001020408,0.001263997,1.81E-05,0.066666667,775318,,ALL
LS_0120_pw_good_AA,375,0.001020408,0.001263997,1.68E-05,0.071428571,775318,,ALL
LS_0120_pw_good_AA,380,0.001020408,0.001263997,1.55E-05,0.076923077,775318,,ALL
LS_0120_pw_good_AA,385,0.001020408,0.001263997,1.42E-05,0.083333333,775318,,ALL
LS_0120_pw_good_AA,410,0.001020408,0.001263997,1.29E-05,0.090909091,775318,,ALL
LS_0120_pw_good_AA,415,0.001020408,0.001263997,1.16E-05,0.1,775318,,ALL
LS_0120_pw_good_AA,420,0.001020408,0.001263997,1.03E-05,0.111111111,775318,,ALL
LS_0120_pw_good_AA,430,0.001020408,0.001263997,9.04E-06,0.125,775318,,ALL
LS_0120_pw_good_AA,440,0.001020408,0.001263997,7.75E-06,0.142857143,775318,,ALL
LS_0120_pw_good_AA,455,0.001020408,0.001263997,6.46E-06,0.166666667,775318,,ALL
LS_0120_pw_good_AA,460,0.001020408,0.001263997,5.17E-06,0.2,775318,,ALL
LS_0120_pw_good_AA,485,0.001020408,0.001263997,3.87E-06,0.25,775318,,ALL
LS_0120_pw_good_AA,515,0.001020408,0.001263997,2.58E-06,0.333333333,775318,,ALL
LS_0120_pw_good_AA,530,0,0.001263997,2.58E-06,0,775318,,ALL
LS_0120_pw_good_AA,580,0,0.001263997,1.29E-06,0,775318,,ALL
LS_0120_pw_good_AA,,1,0.001263997,1,0.001263997,775318,0,ALL
LS_0120_pw_good_AA,,0.592857143,0.001263997,0.109044113,0.006833847,775318,5,ALL
LS_0120_pw_good_AA,,0.493877551,0.001263997,0.076456276,0.008108968,775318,10,ALL
LS_0120_pw_good_AA,,0.419387755,0.001263997,0.057051314,0.009217727,775318,15,ALL
LS_0120_pw_good_AA,,0.344897959,0.001263997,0.043446144,0.009947028,775318,20,ALL
LS_0120_pw_good_AA,,0.296938776,0.001263997,0.034289935,0.010840815,775318,25,ALL
LS_0120_pw_good_AA,,0.259183673,0.001263997,0.028634782,0.011325634,775318,30,ALL
LS_0120_pw_good_AA,,0.233673469,0.001263997,0.024431192,0.011960098,775318,35,ALL
LS_0120_pw_good_AA,,0.217346939,0.001263997,0.021101896,0.012867758,775318,40,ALL
LS_0120_pw_good_AA,,0.205102041,0.001263997,0.018370531,0.013933176,775318,45,ALL
LS_0120_pw_good_AA,,0.185714286,0.001263997,0.016076959,0.014408994,775318,50,ALL
LS_0120_pw_good_AA,,0.176530612,0.001263997,0.014283168,0.01540105,775318,55,ALL
LS_0120_pw_good_AA,,0.163265306,0.001263997,0.012814817,0.015868293,775318,60,ALL
LS_0120_pw_good_AA,,0.156122449,0.001263997,0.011699025,0.016608771,775318,65,ALL
LS_0120_pw_good_AA,,0.146938776,0.001263997,0.010744662,0.017013233,775318,70,ALL
LS_0120_pw_good_AA,,0.144897959,0.001263997,0.009936229,0.018121491,775318,75,ALL
LS_0120_pw_good_AA,,0.133673469,0.001263997,0.009207865,0.018041592,775318,80,ALL
LS_0120_pw_good_AA,,0.131632653,0.001263997,0.008616392,0.018967799,775318,85,ALL
LS_0120_pw_good_AA,,0.12755102,0.001263997,0.008049456,0.019660271,775318,90,ALL
LS_0120_pw_good_AA,,0.120408163,0.001263997,0.007556132,0.019768805,775318,95,ALL
LS_0120_pw_good_AA,,0.117346939,0.001263997,0.007126087,0.020415409,775318,100,ALL
LS_0120_pw_good_AA,,0.113265306,0.001263997,0.006751574,0.02079041,775318,105,ALL
LS_0120_pw_good_AA,,0.109183673,0.001263997,0.006360272,0.021263911,775318,110,ALL
LS_0120_pw_good_AA,,0.107142857,0.001263997,0.006049038,0.021925245,775318,115,ALL
LS_0120_pw_good_AA,,0.1,0.001263997,0.00574297,0.021562156,775318,120,ALL
LS_0120_pw_good_AA,,0.096938776,0.001263997,0.005482102,0.021889401,775318,125,ALL
LS_0120_pw_good_AA,,0.093877551,0.001263997,0.005213486,0.022281424,775318,130,ALL
LS_0120_pw_good_AA,,0.090816327,0.001263997,0.004997817,0.022480424,775318,135,ALL
LS_0120_pw_good_AA,,0.089795918,0.001263997,0.004764069,0.023298914,775318,140,ALL
LS_0120_pw_good_AA,,0.085714286,0.001263997,0.004560024,0.023236515,775318,145,ALL
LS_0120_pw_good_AA,,0.084693878,0.001263997,0.004361145,0.023988439,775318,150,ALL
LS_0120_pw_good_AA,,0.081632653,0.001263997,0.004175179,0.024147299,775318,155,ALL
LS_0120_pw_good_AA,,0.080612245,0.001263997,0.004007294,0.024827153,775318,160,ALL
LS_0120_pw_good_AA,,0.079591837,0.001263997,0.003860071,0.025432018,775318,165,ALL
LS_0120_pw_good_AA,,0.078571429,0.001263997,0.00367798,0.026324786,775318,170,ALL
LS_0120_pw_good_AA,,0.076530612,0.001263997,0.003513969,0.026824034,775318,175,ALL
LS_0120_pw_good_AA,,0.076530612,0.001263997,0.00336029,0.028016436,775318,180,ALL
LS_0120_pw_good_AA,,0.076530612,0.001263997,0.003228564,0.029126214,775318,185,ALL
LS_0120_pw_good_AA,,0.073469388,0.001263997,0.00308909,0.029220779,775318,190,ALL
LS_0120_pw_good_AA,,0.071428571,0.001263997,0.002957365,0.029661017,775318,195,ALL
LS_0120_pw_good_AA,,0.070408163,0.001263997,0.002839845,0.03042328,775318,200,ALL
LS_0120_pw_good_AA,,0.069387755,0.001263997,0.002740405,0.031050228,775318,205,ALL
LS_0120_pw_good_AA,,0.066326531,0.001263997,0.002625468,0.030981888,775318,210,ALL
LS_0120_pw_good_AA,,0.063265306,0.001263997,0.002538943,0.030571992,775318,215,ALL
LS_0120_pw_good_AA,,0.062244898,0.001263997,0.00246404,0.030980193,775318,220,ALL
LS_0120_pw_good_AA,,0.062244898,0.001263997,0.002371058,0.032156036,775318,225,ALL
LS_0120_pw_good_AA,,0.06122449,0.001263997,0.002269035,0.033021464,775318,230,ALL
LS_0120_pw_good_AA,,0.060204082,0.001263997,0.002178635,0.033791523,775318,235,ALL
LS_0120_pw_good_AA,,0.059183673,0.001263997,0.002115355,0.034198113,775318,240,ALL
LS_0120_pw_good_AA,,0.056122449,0.001263997,0.002041744,0.033618582,775318,245,ALL
LS_0120_pw_good_AA,,0.054081633,0.001263997,0.00197459,0.033501896,775318,250,ALL
LS_0120_pw_good_AA,,0.054081633,0.001263997,0.001926807,0.034304207,775318,255,ALL
LS_0120_pw_good_AA,,0.054081633,0.001263997,0.001863527,0.035427807,775318,260,ALL
LS_0120_pw_good_AA,,0.052040816,0.001263997,0.001810579,0.035099794,775318,265,ALL
LS_0120_pw_good_AA,,0.05,0.001263997,0.001746008,0.034975018,775318,270,ALL
LS_0120_pw_good_AA,,0.048979592,0.001263997,0.001704682,0.035087719,775318,275,ALL
LS_0120_pw_good_AA,,0.048979592,0.001263997,0.001663356,0.035928144,775318,280,ALL
LS_0120_pw_good_AA,,0.047959184,0.001263997,0.001615574,0.036209553,775318,285,ALL
LS_0120_pw_good_AA,,0.047959184,0.001263997,0.001557459,0.037509976,775318,290,ALL
LS_0120_pw_good_AA,,0.044897959,0.001263997,0.001505802,0.036363636,775318,295,ALL
LS_0120_pw_good_AA,,0.042857143,0.001263997,0.001454145,0.035958904,775318,300,ALL
LS_0120_pw_good_AA,,0.041836735,0.001263997,0.001405071,0.036315323,775318,305,ALL
LS_0120_pw_good_AA,,0.041836735,0.001263997,0.001348248,0.037788018,775318,310,ALL
LS_0120_pw_good_AA,,0.041836735,0.001263997,0.001305631,0.038973384,775318,315,ALL
LS_0120_pw_good_AA,,0.039795918,0.001263997,0.00126818,0.038197845,775318,320,ALL
LS_0120_pw_good_AA,,0.03877551,0.001263997,0.001224272,0.038539554,775318,325,ALL
LS_0120_pw_good_AA,,0.03877551,0.001263997,0.001199734,0.039296794,775318,330,ALL
LS_0120_pw_good_AA,,0.03877551,0.001263997,0.001162283,0.040511727,775318,335,ALL
LS_0120_pw_good_AA,,0.03877551,0.001263997,0.00112354,0.04185022,775318,340,ALL
LS_0120_pw_good_AA,,0.03877551,0.001263997,0.001091255,0.043035108,775318,345,ALL
LS_0120_pw_good_AA,,0.03877551,0.001263997,0.0010693,0.043879908,775318,350,ALL
LS_0120_pw_good_AA,,0.03877551,0.001263997,0.001029266,0.045508982,775318,355,ALL
LS_0120_pw_good_AA,,0.03877551,0.001263997,0.000998272,0.046855734,775318,360,ALL
LS_0120_pw_good_AA,,0.036734694,0.001263997,0.000967278,0.045859873,775318,365,ALL
LS_0120_pw_good_AA,,0.036734694,0.001263997,0.000931118,0.047556143,775318,370,ALL
LS_0120_pw_good_AA,,0.036734694,0.001263997,0.000901415,0.049046322,775318,375,ALL
LS_0120_pw_good_AA,,0.036734694,0.001263997,0.000878169,0.05027933,775318,380,ALL
LS_0120_pw_good_AA,,0.035714286,0.001263997,0.000848467,0.050578035,775318,385,ALL
LS_0120_pw_good_AA,,0.035714286,0.001263997,0.00082393,0.052005944,775318,390,ALL
LS_0120_pw_good_AA,,0.034693878,0.001263997,0.000804558,0.051750381,775318,395,ALL
LS_0120_pw_good_AA,,0.033673469,0.001263997,0.000781313,0.051724138,775318,400,ALL
LS_0120_pw_good_AA,,0.033673469,0.001263997,0.000755484,0.053398058,775318,405,ALL
LS_0120_pw_good_AA,,0.033673469,0.001263997,0.000732238,0.055,775318,410,ALL
LS_0120_pw_good_AA,,0.032653061,0.001263997,0.000721907,0.054145516,775318,415,ALL
LS_0120_pw_good_AA,,0.030612245,0.001263997,0.000699953,0.052447552,775318,420,ALL
LS_0120_pw_good_AA,,0.030612245,0.001263997,0.000677998,0.054054054,775318,425,ALL
LS_0120_pw_good_AA,,0.030612245,0.001263997,0.00065217,0.056074766,775318,430,ALL
LS_0120_pw_good_AA,,0.030612245,0.001263997,0.000631507,0.057803468,775318,435,ALL
LS_0120_pw_good_AA,,0.029591837,0.001263997,0.000623759,0.056640625,775318,440,ALL
LS_0120_pw_good_AA,,0.028571429,0.001263997,0.000599222,0.056910569,775318,445,ALL
LS_0120_pw_good_AA,,0.028571429,0.001263997,0.000575976,0.05907173,775318,450,ALL
LS_0120_pw_good_AA,,0.028571429,0.001263997,0.000560479,0.060606061,775318,455,ALL
LS_0120_pw_good_AA,,0.028571429,0.001263997,0.000538525,0.062921348,775318,460,ALL
LS_0120_pw_good_AA,,0.028571429,0.001263997,0.000521736,0.064814815,775318,465,ALL
LS_0120_pw_good_AA,,0.02755102,0.001263997,0.000508822,0.064133017,775318,470,ALL
LS_0120_pw_good_AA,,0.02755102,0.001263997,0.000497199,0.065533981,775318,475,ALL
LS_0120_pw_good_AA,,0.02755102,0.001263997,0.000477828,0.068010076,775318,480,ALL
LS_0120_pw_good_AA,,0.02755102,0.001263997,0.000464913,0.069767442,775318,485,ALL
LS_0120_pw_good_AA,,0.026530612,0.001263997,0.000449416,0.069518717,775318,490,ALL
LS_0120_pw_good_AA,,0.026530612,0.001263997,0.000439085,0.071038251,775318,495,ALL
LS_0120_pw_good_AA,,0.026530612,0.001263997,0.000431336,0.072222222,775318,500,ALL
LS_0120_pw_good_AA,,0.025510204,0.001263997,0.000418422,0.071633238,775318,505,ALL
LS_0120_pw_good_AA,,0.024489796,0.001263997,0.000404216,0.071216617,775318,510,ALL
LS_0120_pw_good_AA,,0.024489796,0.001263997,0.000397759,0.072289157,775318,515,ALL
LS_0120_pw_good_AA,,0.024489796,0.001263997,0.000377096,0.075949367,775318,520,ALL
LS_0120_pw_good_AA,,0.024489796,0.001263997,0.000357725,0.079734219,775318,525,ALL
LS_0120_pw_good_AA,,0.024489796,0.001263997,0.000346102,0.082191781,775318,530,ALL
LS_0120_pw_good_AA,,0.023469388,0.001263997,0.000333188,0.081850534,775318,535,ALL
LS_0120_pw_good_AA,,0.02244898,0.001263997,0.000321565,0.081180812,775318,540,ALL
LS_0120_pw_good_AA,,0.02244898,0.001263997,0.000315108,0.082706767,775318,545,ALL
LS_0120_pw_good_AA,,0.021428571,0.001263997,0.000304776,0.081712062,775318,550,ALL
LS_0120_pw_good_AA,,0.020408163,0.001263997,0.000297028,0.08,775318,555,ALL
LS_0120_pw_good_AA,,0.020408163,0.001263997,0.000286697,0.082644628,775318,560,ALL
